visitation_id,resident_id,visit_date,social_worker,visit_type,location_visited,family_members_present,purpose,observations,family_cooperation_level,safety_concerns_noted,follow_up_needed,follow_up_notes,visit_outcome
55,2,2023-04-09,SW-07,Emergency,Proposed Foster Home,Rivera (Parent); Flores (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,False,False,Follow-up scheduled,Favorable
56,2,2023-04-29,SW-04,Routine Follow-Up,School,Flores (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,,Favorable
57,2,2023-06-03,SW-07,Initial Assessment,Church,Diaz (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
58,2,2023-07-10,SW-05,Emergency,School,Reyes (Parent); Garcia (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Uncooperative,True,True,,Unfavorable
59,2,2023-07-24,SW-16,Initial Assessment,Family Home,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,True,False,Follow-up scheduled,Favorable
60,2,2023-08-05,SW-07,Emergency,School,Cruz (Parent); Santos (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
61,2,2023-10-17,SW-07,Initial Assessment,Family Home,Garcia (Parent); Diaz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,True,,Needs Improvement
62,2,2023-10-18,SW-19,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Unfavorable
63,2,2023-10-24,SW-11,Routine Follow-Up,School,Santos (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,,Needs Improvement
64,2,2023-11-05,SW-10,Post-Placement Monitoring,Proposed Foster Home,Flores (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,False,,Favorable
65,2,2023-11-09,SW-14,Initial Assessment,Family Home,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
66,2,2023-11-26,SW-01,Routine Follow-Up,School,Cruz (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Needs Improvement
67,2,2024-01-04,SW-07,Initial Assessment,Community Center,Garcia (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,True,,Unfavorable
68,2,2024-01-26,SW-20,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
69,2,2024-02-21,SW-13,Routine Follow-Up,Church,Diaz (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,,Favorable
70,2,2024-02-25,SW-20,Routine Follow-Up,Barangay Office,Cruz (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
71,2,2024-04-01,SW-07,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive
72,2,2024-04-08,SW-17,Initial Assessment,Family Home,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,True,,Needs Improvement
73,2,2024-04-21,SW-16,Post-Placement Monitoring,Church,Cruz (Parent); Cruz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
74,2,2024-04-27,SW-01,Routine Follow-Up,School,Santos (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
75,2,2024-06-08,SW-10,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement
76,2,2024-06-10,SW-02,Routine Follow-Up,Barangay Office,Torres (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
77,2,2024-06-21,SW-03,Routine Follow-Up,School,Garcia (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement
78,2,2024-06-25,SW-08,Initial Assessment,Barangay Office,Mendoza (Parent); Torres (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable
79,2,2024-09-07,SW-13,Post-Placement Monitoring,Family Home,Cruz (Parent); Lopez (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable
80,2,2024-09-22,SW-03,Initial Assessment,Church,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable
81,2,2024-10-14,SW-03,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,,Needs Improvement
82,2,2024-10-22,SW-10,Post-Placement Monitoring,Proposed Foster Home,Cruz (Parent); Mendoza (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,False,Follow-up scheduled,Inconclusive
83,2,2024-11-24,SW-10,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,Follow-up scheduled,Inconclusive
84,2,2024-12-03,SW-07,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
85,2,2024-12-04,SW-05,Routine Follow-Up,Family Home,Flores (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
86,2,2024-12-09,SW-12,Reintegration Assessment,School,Santos (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
87,2,2024-12-24,SW-11,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,,Needs Improvement
88,2,2025-01-02,SW-10,Initial Assessment,Proposed Foster Home,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,True,False,Follow-up scheduled,Favorable
89,2,2025-01-03,SW-05,Reintegration Assessment,School,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
90,3,2024-06-08,SW-12,Routine Follow-Up,Family Home,Torres (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Unfavorable
91,3,2024-06-21,SW-13,Initial Assessment,School,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,False,False,,Favorable
92,3,2024-07-18,SW-19,Routine Follow-Up,Church,Garcia (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,True,True,,Unfavorable
93,3,2024-07-24,SW-11,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Unfavorable
94,3,2024-08-07,SW-07,Routine Follow-Up,Church,Garcia (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,True,False,,Inconclusive
95,3,2024-09-19,SW-04,Initial Assessment,Proposed Foster Home,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable
96,3,2024-10-13,SW-18,Routine Follow-Up,Barangay Office,Santos (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,,Inconclusive
97,3,2024-10-16,SW-09,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Needs Improvement
98,3,2024-11-09,SW-17,Routine Follow-Up,Community Center,Reyes (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Inconclusive
99,3,2024-11-19,SW-05,Post-Placement Monitoring,Barangay Office,Flores (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,True,False,Follow-up scheduled,Favorable
100,3,2024-12-06,SW-05,Routine Follow-Up,Barangay Office,Lopez (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,True,Follow-up scheduled,Needs Improvement
101,3,2024-12-13,SW-03,Routine Follow-Up,Community Center,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Favorable
102,3,2024-12-29,SW-02,Routine Follow-Up,School,Rivera (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Unfavorable
103,3,2024-12-30,SW-03,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,,Inconclusive
104,3,2025-01-15,SW-15,Routine Follow-Up,Proposed Foster Home,Santos (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Unfavorable
105,3,2025-01-17,SW-08,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Needs Improvement
106,3,2025-01-23,SW-11,Initial Assessment,School,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable
107,3,2025-02-08,SW-02,Emergency,School,Cruz (Parent); Cruz (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,True,False,Follow-up scheduled,Inconclusive
108,3,2025-03-22,SW-02,Routine Follow-Up,Community Center,Diaz (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,Follow-up scheduled,Favorable
109,3,2025-04-14,SW-17,Routine Follow-Up,Proposed Foster Home,Flores (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
110,3,2025-04-18,SW-06,Post-Placement Monitoring,Community Center,Flores (Parent); Santos (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,True,Follow-up scheduled,Needs Improvement
111,3,2025-09-24,SW-08,Routine Follow-Up,Community Center,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
112,3,2025-09-27,SW-07,Routine Follow-Up,Barangay Office,Mendoza (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,,Needs Improvement
113,3,2025-11-09,SW-15,Post-Placement Monitoring,Community Center,Diaz (Parent); Reyes (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
114,3,2025-11-30,SW-08,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
115,3,2025-12-10,SW-17,Routine Follow-Up,Family Home,Mendoza (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
116,4,2024-10-08,SW-10,Initial Assessment,Family Home,Reyes (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,True,False,Follow-up scheduled,Favorable
117,4,2024-10-18,SW-17,Routine Follow-Up,School,Rivera (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
118,4,2025-01-19,SW-16,Routine Follow-Up,Barangay Office,Santos (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive
119,4,2025-02-20,SW-18,Post-Placement Monitoring,Family Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,True,False,Follow-up scheduled,Favorable
120,4,2025-04-26,SW-01,Post-Placement Monitoring,Family Home,Torres (Parent); Reyes (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
121,4,2025-05-10,SW-10,Reintegration Assessment,Community Center,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
122,4,2025-05-29,SW-18,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
123,4,2025-06-23,SW-09,Initial Assessment,Community Center,Garcia (Parent); Cruz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable
124,4,2026-02-13,SW-18,Post-Placement Monitoring,Church,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement
125,5,2024-01-24,SW-03,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Needs Improvement
126,5,2024-02-04,SW-09,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Unfavorable
127,5,2024-02-29,SW-03,Initial Assessment,School,Lopez (Parent); Torres (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,False,False,,Inconclusive
128,5,2024-03-11,SW-14,Reintegration Assessment,Community Center,Santos (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement
129,5,2024-04-03,SW-12,Initial Assessment,Barangay Office,Garcia (Parent); Torres (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,,Favorable
130,5,2024-05-09,SW-12,Reintegration Assessment,Church,Flores (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,True,False,Follow-up scheduled,Inconclusive
131,5,2024-05-15,SW-05,Routine Follow-Up,Family Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
132,5,2024-05-23,SW-04,Routine Follow-Up,Community Center,Rivera (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
133,5,2024-07-15,SW-14,Initial Assessment,Family Home,Cruz (Parent); Torres (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
134,5,2024-09-24,SW-07,Post-Placement Monitoring,Proposed Foster Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,False,,Favorable
135,5,2024-09-25,SW-08,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
136,6,2023-09-20,SW-05,Routine Follow-Up,Barangay Office,Mendoza (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
137,6,2023-10-19,SW-20,Initial Assessment,Community Center,Cruz (Parent); Flores (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,True,Follow-up scheduled,Unfavorable
138,6,2023-10-23,SW-07,Post-Placement Monitoring,School,Mendoza (Parent); Rivera (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
139,6,2023-10-28,SW-05,Reintegration Assessment,Barangay Office,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,,Needs Improvement
140,6,2023-10-30,SW-14,Reintegration Assessment,Church,Reyes (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,False,,Inconclusive
141,6,2023-11-05,SW-05,Initial Assessment,Community Center,Mendoza (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
142,6,2023-12-08,SW-16,Reintegration Assessment,Church,Torres (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,False,Follow-up scheduled,Favorable
